_id,bus_no,dest,platform
334,347E,SOMASUNDARAPALYA,26A
335,347HD,DEVENDRA NAGAR (CHIKKATHOGURU),26A
336,347L,HOSAPALYA,26A
337,351A,NARAYANAGHATTA,26B
338,351J,HANDENAHALLI,26B
339,352A,HENNAGARA,26B
340,352B,MASTENAHALLI,26B
341,353C,JIGANI,26B
342,354B,SHETTIHALLI,26B
343,354C,MARASUR,26B
344,355A,SRIRAMPURA,26B
345,355E,BANDENALLASANDRA,26B
346,365B,MALE NALLA SANDRA,27
347,365D,BILAVARADA HALLI,27
348,365E,SHYANUBHOGANA HALLI,27
349,365K,CHATTAKEREPALYA,27
350,365R,BASAVANAPURA CHURCH,27
351,365S,MUTTARAYANA DODDI,27
352,365W,VADERA MENCHENAHALLI,27
353,367F,PILLAGANAHALLI,27
354,369C,HULIMAVU,27
355,369CA,CHIKKAMMANAHALLI,27
356,369D,SHANTINIKETAN LAYOUT,27
357,369F,HOMMADEVANAHALLI,27
358,369G,CHIKKAMMANAHALLI,27
359,369J,C.K PALYA,27
360,369K,YELENAHALLI,27
361,317YB,KHAJI HOSAHALLI,28A
362,317YE,GOVINDPURA,28A
363,381,THIMMASANDRA,28A
364,381E,KAMBALIPURA,28A
365,382M,CHIKKA KORATI,28A
366,383A,POOJENA AGRAHARA,28A
367,383D,MAKANAHALLI,28A
368,KBS-12HK,HOSAKOTE,28A
369,316B,BUDIGERE,28A
370,316F,CHEEMASANDRA,28A
371,316G,MANDOOR,28A
372,316J,KATTU GOLLAHALLI,28A
373,316M,SINGAHALLI,28A
374,316Q,KAGGALAHALLI,28A
375,317P,KANNAMANGALA,28A
376,317V,NADUVATHI,28A
377,319G,DR. AMBEDKAR NAGAR,29A
378,320A,NAGONDANAHALLI,29A
379,321G,MUTHKUR,29A
380,322A,TATTANUR,29A
381,KBS-13K,KADUGODI BUS STATION,29A
382,333,MARATHALLI BRIDGE,29C
383,333C,BASAVA NAGARA,29C
384,333D,CHINNAPPANA HALLI,29C
385,333F,DODDA NEKKUNDI,29C
386,333H,MUNE KOLALU,29C
387,333N,SEETHARAMAPALYA,29C
388,333Q,BHOGANAHALLI,29C
389,334C,B NAGASANDRA,29C
390,336B,KEMPAPURA,29C
