SL No.,Platform,Bus Route,Starting From,Destination
189,17,V-335E,,KADUGODI BUS STATION
190,17,V-335EK,,HOSKOTE
191,17,V-335EP,,RING ROUTE
192,17D,335A,Kempegowda Bus Stand,SATHYA SAI HOSPITAL
193,17D,335F,Kempegowda Bus Stand,LAL BAHADUR SHASTRI NAGAR
194,17D,336B,Kempegowda Bus Stand,KEMPAPURA
195,17D,381,Kempegowda Bus Stand,THIMMASANDRA
196,18,V-305D,Kempegowda Bus Stand,CHINNASANDRA
197,18,V-317A,Kempegowda Bus Stand,HOSAKOTE
198,18,V-319CT,Kempegowda Bus Stand,WHITEFIELD TTMC
199,18A,138,,JEEVANBHEEMA NAGAR
200,18A,314B,Kempegowda Bus Stand,C.V. RAMAN NAGAR
201,18A,314D,Kempegowda Bus Stand,MALLESH PALYA
202,18A,314F,Kempegowda Bus Stand,VIBHUTHIPURA SAMUDYA BHAVANA
203,18A,314G,Kempegowda Bus Stand,BYRASANDRA
204,18A,314H,Kempegowda Bus Stand,MALLESH PALYA
205,18A,314T,Kempegowda Bus Stand,BASAVANAGAR
206,18A,314X,Kempegowda Bus Stand,ABBAIAREDDY LAYOUT
207,19,126,Kempegowda Bus Stand,JEEVANAHALLI
208,19,129,Kempegowda Bus Stand,SHIVAJINAGAR
209,19,290,Kempegowda Bus Stand,NAGAVARA
210,19,290B,Kempegowda Bus Stand,NAGAVARA
211,19,290J,Kempegowda Bus Stand,MESTRI PALYA
212,19,290T,Kempegowda Bus Stand,HBR LAYOUT 1ST STAGE
213,19,291H,Kempegowda Bus Stand,RK HEGDE NAGAR
214,19,291M,Kempegowda Bus Stand,GOVINDAPURA
215,19C,296,,HENNUR CROSS
216,19C,296A,,YARAPPANAHALLI
217,19C,296B,,H.B.R LAYOUT 5TH STAGE
218,19C,296C,,KALYAN NAGAR
219,19C,296F,,MARASANDRA
220,19C,296N,,KADU AGRAHARA
221,19C,296T,,H.B.R 1ST STAGE
222,19C,296V,,H.B.R B.D.A COMPLEX
223,19C,56,Kempegowda Bus Stand,JAGAJEEVANRAM NAGAR
224,19C,57A,Kempegowda Bus Stand,BAPUJINAGAR
225,19C,58,Kempegowda Bus Stand,TIMBER YARD LAYOUT
