_id,bus_no,dest,platform
107,36F,"KR MARKET, SREENAGARA",10
108,36H,"CHAMARAJPETE, APEX BANK",10
109,36G,"KR MARKET, NAGENDRA BLOCK",10
110,10,"CHAMARAJAPETE, ASHRAMA",10
111,2,"LALBAGH MAIN GATE, JAYNAGAR 4TH BLOCK",11
112,2A,"CORPORATION, JAYNAGAR 4TH BLOCK",11
113,2E,"LALBAGH MAIN GATE, JAYNAGAR 4TH BLOCK",11
114,2G,"CORPORATION, JAYNAGAR 4TH BLOCK",11
115,210R,"MONOTYPE, ISRO LAYOUT",11A
116,210U,"KR MARKET, MONOTYPE",11A
117,211B,"BANASHANKARI, KAGGALIPURA",11A
118,211F,"BANASHANKARI, KONANKUNTE CROSS",11A
119,211L,"KR MARKET, CORPORATION",11A
120,212B,"CORPORATION, BANASHANKRI",11A
121,212D,"CORPORATION, TALAGHATTAPURA",11A
122,213Z,"KR MARKET, UDAYANAPALYA",11A
123,215R,"VIJAYA COLLEGE, PUTTENAHALLI",11B
124,215G,"KR MARKET, KONANAKUNTE CROSS",11B
125,215H,"VIJAYA COLLEGE, KOTTANURU DINNE",11B
126,215I,"CORPORATION, JARAGANAHALLI",11B
127,215J,"VIJAYA COLLEGE, CHANCHAGHATTA",11B
128,215M,"CORPORATION, JAYNAGAR 5TH BLOCK",11B
129,215N,"KR MARKET, SOUTH END CIRCLE",11B
130,215NA,MAHILA SEVA SAMAJA ANJANAPURA,11B
131,12,"LALBAGH MAIN GATE, VIJAYA COLLEGE",12
132,12A,"CORPORATION, VIJAYA COLLEGE",12
133,12B,"LALBAGH MAIN GATE, BANASHANKARI 2ND STAGE",12
134,12C,"CORPORATION, VIJAYA COLLEGE, TATA SILK FARM",12
135,12D,"CORPORATION, VIJAYA COLLEGE",12
136,12E,"CORPORATION, SOUTHEND CIRCLE",12
137,12F,"LALBAGH MAIN GATE, MANOTYPE",12
138,15C,"CORPORATION, VIJAYA COLLEGE, TATA SILK FARM",12
139,15E,"KR MARKET, MANOTYPE",12
140,15G,"TOWN HALL, MANOTYPE",12A
141,15H,"CORPORATION, KADIRENAHALLI CROSS",12A
142,15J,"KR MARKET, MANOTYPE",12A
143,15L,"KR MARKET, KADIRENAHALLI CROSS",12A
144,25F,"CORPORATION, VIJAYA COLLEGE",13A
145,25G,"CORPORATION, VIJAYA COLLEGE",13A
146,25H,"CORPORATION, LALBAGH",13A
147,25K,"MAHARANI COLLEGE, JAYNAGAR 4TH BLOCK",13A
148,25N,"CORPORATION, ASHOKA PILLAR, JAYNAGAR 4TH BLOCK EAST",13A
149,25J,"CORPORATION, ASHOKA PILLAR",13A
150,364A,"CORPORATION, SOUTHEND CIRCLE, BILEKALLI",13A
151,364B,"CORPORATION, SOUTHEND CIRCLE, VIJAYA BANK COLONY",13A
152,364C,"CORPORATION, SOUTHEND CIRCLE",13A
153,364F,"SHANTINAGAR, JAYADEVA HOSPITAL",13B
154,364G,"CORPORATION, JAYADEVA HOSPITAL",13B
155,165G,"CORPORATION, WILSON GARDEN",14A
156,168D,"CORPORATION, NIMHANS",14A
157,168E,"CORPORATION, NIMHANS",14A
158,168F,"SHANTHINAGAR, NIMHANS",14A
159,171,"CORPORATION, BANGALORE DAIRY",14A
160,171B,"SHANTHINAGAR, WILSON GARDEN",14A
161,171C,"NIMHANS, BANGLORE DAIRY",14A
162,171D,"CORPORATION, BANGALORE DAIRY",14A
163,171F,"SHANTI NAGAR, BANGLORE DAIRY",14B
164,171G,"CORPORATION, HOSUR ROAD, KALYANA MANTAPA",14B
165,171H,"CORPORATION, DAIRY, AUDUGODI",14B
166,171J,"BANGLORE DAIRY, KRM, KALYANA MANTAPA",14B
167,171PP,"CORPORATION, DAIRY, AUDUGODI",14B
168,353C,"MADIVALA, RAJAPURA",15D
169,354C,"MADIVALA, KOODLU GATE, IGLURU",15D
170,355A,"HEBBAGODI, MARADEVANHALLI",15D
171,355C,"KOODLU GATE, TEMPLE CROSS",15D
172,355Q,"MADIVALA, KONAPPANA AGRAHARA",15D
173,356,"SINGASANDRA, BTL COLLEGE",15D
174,356A,"KOODLU GATE, BYRADEVAHALLI",15D
175,356C,"SINGASANDRA, KONAPPANA AGRAHARA",15D
176,356D,"MADIVALA, HUSKURU GATE",15D
177,335A,"MILITARY HOSPITAL, MARATHAHALLI",17D
178,335F,"MAYOHALL, HAL MAIN GATE",17D
179,336B,"DOMLURU, YAMALURU",17D
180,381,"HALASURU, HALAPPANAHALLI",17D
181,131,"CORPORATION, ULSOOR",18
182,131B,"MAYOHALL, ULSOOR",18
183,131C,"ULSOOR, DOOPANAHALLI",18
184,314H,MALLESHPALYA,18
185,314D,VIGNANANAGAR,18
186,314B,C.V. RAMAN NAGAR,18
187,138D,"K.R. CIRCLE, ULSOOR",18
188,314B,"HALASURU, NAGAVARAPALYA",18A
189,314D,"MAYOHALL, MALLESHPALYA",18A
190,314E,"HALASURU, KAGGADASAPURA",18A
191,314G,"MEYOHALLI, BEML GATE",18A
192,314H,"CORPORATION, THIPPASANDRA CROSS",18A
193,314T,"HALASURU, MALLESH PALYA",18A
194,314X,"HALASURU, VIGNANANAGAR",18A
195,314Z,"HALASURU, BEML GATE",18A
